Periodo,Sede,Facultad  ,Código Depto,Departamento,Id Asignatura,Asignatura,Sección,Duración,Jornada,Cupo,Inscritos,Día,Hora Inicio,Hora Fin,Fecha Inicio,Fecha Fin,Lugar,Edificio,Profesor Principal,RUN,Nombre Docente,1er Apellido Docente,2so Apellido Docente,Jerarquización
2024-02,Beauxbaton,Facultad de Magia y Hechicería,6012,ESCUELA DE Hechicería,WH236009,Hospital San Mungo de Enfermedades y Heridas Mágicas,210,S,Diurno,32,26,lunes,15:45,17:05,01/08/24,30/12/24,206,BEAUXBATON - EDIFICIO A,S,11262739,Alastor,Moody,0,SIN
2024-02,Beauxbaton,Facultad de Magia y Hechicería,6012,ESCUELA DE Hechicería,WH236009,Hospital San Mungo de Enfermedades y Heridas Mágicas,210,S,Diurno,32,26,lunes,17:15,18:35,01/08/24,30/12/24,206,BEAUXBATON - EDIFICIO A,S,11262739,Alastor,Moody,0,SIN
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13479,MAGIA BLANCA,10,S,Diurno,50,30,martes,08:15,09:35,01/08/24,30/12/24,308 (H),HOGWARTS - ,S,12317173,Alastor,PITURRA ,0,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13479,MAGIA BLANCA,10,S,Diurno,50,30,martes,09:45,11:05,01/08/24,30/12/24,308 (H),HOGWARTS - ,S,12317173,Alastor,PITURRA ,0,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13479,MAGIA BLANCA,10,S,Diurno,50,30,martes,11:15,12:35,01/08/24,30/12/24,308 (H),HOGWARTS - ,S,12317173,Alastor,PITURRA ,0,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13467,POCIONES I,30,S,Vespertino,40,33,martes,18:50,20:10,01/08/24,30/12/24,212,HOGWARTS - TORRE B,S,14003526,Albus,Dumbledore,0,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13467,POCIONES I,30,S,Vespertino,40,33,martes,20:15,21:35,01/08/24,30/12/24,212,HOGWARTS - TORRE B,S,14003526,Albus,Dumbledore,0,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13467,POCIONES I,30,S,Vespertino,40,33,martes,21:40,23:00,01/08/24,30/12/24,212,HOGWARTS - TORRE B,S,14003526,Albus,Dumbledore,0,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13467,POCIONES I,20,S,Diurno,70,70,jueves,08:15,09:35,01/08/24,30/12/24,AULA D (H),HOGWARTS - ,S,14003526,Albus,Dumbledore,0,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13467,POCIONES I,20,S,Diurno,70,70,jueves,09:45,11:05,01/08/24,30/12/24,AULA D (H),HOGWARTS - ,S,14003526,Albus,Dumbledore,0,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13467,POCIONES I,20,S,Diurno,70,70,jueves,11:15,12:35,01/08/24,30/12/24,AULA D (H),HOGWARTS - ,S,14003526,Albus,Dumbledore,0,JC1
2024-02,Beauxbaton,Facultad de Magia y Hechicería,6012,ESCUELA DE Hechicería,WH236023,PLANIFICACIÓN II,210,S,Diurno,15,13,miércoles,08:15,09:35,01/08/24,30/12/24,406,BEAUXBATON - EDIFICIO B,S,14436822,Alecto,Carrow,DIETZ,SIN
2024-02,Beauxbaton,Facultad de Magia y Hechicería,6012,ESCUELA DE Hechicería,WH236023,PLANIFICACIÓN II,210,S,Diurno,15,13,miércoles,09:45,11:05,01/08/24,30/12/24,406,BEAUXBATON - EDIFICIO B,S,14436822,Alecto,Carrow,DIETZ,SIN
2024-02,hogwarts,Ministerio de magia,9010,PROGRAMA DE PÁRCEL,WH23639,PÁRSEL II,100,S,Vespertino,3,2,martes,18:50,20:10,01/08/24,31/12/24,4 (EX 113) SALA REUNION PÁRCEL,HOGWARTS - TORRE D,S,15137023,Alicia,Spinnet,0,INSD
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13459,TEORIA MAGICA II,10,S,Diurno,75,75,lunes,08:15,09:35,01/08/24,30/12/24,AULA C (H),HOGWARTS - ,S,17663505,Amycus,Carrow,JERALDO,TID
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13459,TEORIA MAGICA II,10,S,Diurno,75,75,lunes,09:45,11:05,01/08/24,30/12/24,AULA C (H),HOGWARTS - ,S,17663505,Amycus,Carrow,JERALDO,TID
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13459,TEORIA MAGICA II,10,S,Diurno,75,75,lunes,11:15,12:35,01/08/24,30/12/24,AULA C (H),HOGWARTS - ,S,17663505,Amycus,Carrow,JERALDO,TID
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH23495,REUNIÓN MAGICA  II,220,S,Diurno,33,14,viernes,14:15,15:35,01/08/24,30/12/24,207,BEAUXBATON - EDIFICIO A,S,17932239,Angelina,Johnson,0,INSD
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH23495,REUNIÓN MAGICA  II,220,S,Diurno,33,14,viernes,15:45,17:05,01/08/24,30/12/24,207,BEAUXBATON - EDIFICIO A,S,17932239,Angelina,Johnson,0,INSD
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH23495,REUNIÓN MAGICA  II,220,S,Diurno,33,14,viernes,17:15,18:35,01/08/24,30/12/24,207,BEAUXBATON - EDIFICIO A,S,17932239,Angelina,Johnson,0,INSD
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,HP14091,TALLER DE COMPORTAMIENTO ETICO Y SOCIAL DEL MAGO,210,S,Diurno,43,41,miércoles,15:45,17:05,01/08/24,31/12/24,509,BEAUXBATON - EDIFICIO B,S,17932239,Angelina,Johnson,0,INSD
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,HP14091,TALLER DE COMPORTAMIENTO ETICO Y SOCIAL DEL MAGO,210,S,Diurno,43,41,miércoles,17:15,18:35,01/08/24,31/12/24,509,BEAUXBATON - EDIFICIO B,S,17932239,Angelina,Johnson,0,INSD
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH233410,PÁRSEL III,260,S,Diurno,40,28,martes,11:15,12:35,01/08/24,31/12/24,310,BEAUXBATON - EDIFICIO B,S,18130777,Anthony,Goldstein,GONZÁLEZ,AU
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH233410,PÁRSEL III,260,S,Diurno,40,28,martes,12:45,14:05,01/08/24,31/12/24,310,BEAUXBATON - EDIFICIO B,S,18130777,Anthony,Goldstein,GONZÁLEZ,AU
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13467,POCIONES I,210,S,Diurno,55,55,lunes,08:15,09:35,01/08/24,30/12/24,207,BEAUXBATON - EDIFICIO A,S,19277242,Argus,Filch,0,JC1
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13467,POCIONES I,210,S,Diurno,55,55,lunes,09:45,11:05,01/08/24,30/12/24,207,BEAUXBATON - EDIFICIO A,S,19277242,Argus,Filch,0,JC1
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13467,POCIONES I,210,S,Diurno,55,55,lunes,11:15,12:35,01/08/24,30/12/24,207,BEAUXBATON - EDIFICIO A,S,19277242,Argus,Filch,0,JC1
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13479,MAGIA BLANCA,210,S,Diurno,50,47,jueves,08:15,09:35,01/08/24,30/12/24,207,BEAUXBATON - EDIFICIO A,S,19277242,Argus,Filch,0,JC1
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13479,MAGIA BLANCA,210,S,Diurno,50,47,jueves,09:45,11:05,01/08/24,30/12/24,207,BEAUXBATON - EDIFICIO A,S,19277242,Argus,Filch,0,JC1
2024-02,Beauxbaton,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13479,MAGIA BLANCA,210,S,Diurno,50,47,jueves,11:15,12:35,01/08/24,30/12/24,207,BEAUXBATON - EDIFICIO A,S,19277242,Argus,Filch,0,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,6012,ESCUELA DE HECHICERÍA,WH236009,Hospital San Mungo de Enfermedades y Heridas Mágicas,10,S,Diurno,30,13,viernes,14:15,15:35,01/08/24,30/12/24,312,HOGWARTS - TORRE B,S,20117761,Arthur,Weasley,STIPPEL,SIN
2024-02,hogwarts,Facultad de Magia y Hechicería,6012,ESCUELA DE HECHICERÍA,WH236009,Hospital San Mungo de Enfermedades y Heridas Mágicas,10,S,Diurno,30,13,viernes,15:45,17:05,01/08/24,30/12/24,312,HOGWARTS - TORRE B,S,20117761,Arthur,Weasley,STIPPEL,SIN
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13461,ESTUDIOS MUGGLE,20,S,Vespertino,40,12,martes,18:50,20:10,01/08/24,30/12/24,213,HOGWARTS - TORRE B,S,23715659,Aurora,Sinistra,CONTRERAS,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13461,ESTUDIOS MUGGLE,20,S,Vespertino,40,12,martes,20:15,21:35,01/08/24,30/12/24,213,HOGWARTS - TORRE B,S,23715659,Aurora,Sinistra,CONTRERAS,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13461,ESTUDIOS MUGGLE,20,S,Vespertino,40,12,martes,21:40,23:00,01/08/24,30/12/24,213,HOGWARTS - TORRE B,S,23715659,Aurora,Sinistra,CONTRERAS,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13461,ESTUDIOS MUGGLE,10,S,Diurno,70,64,miércoles,08:15,09:35,01/08/24,30/12/24,AULA A (H),HOGWARTS - ,S,23715659,Aurora,Sinistra,CONTRERAS,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13461,ESTUDIOS MUGGLE,10,S,Diurno,70,64,miércoles,09:45,11:05,01/08/24,30/12/24,AULA A (H),HOGWARTS - ,S,23715659,Aurora,Sinistra,CONTRERAS,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13461,ESTUDIOS MUGGLE,10,S,Diurno,70,64,miércoles,11:15,12:35,01/08/24,30/12/24,AULA A (H),HOGWARTS - ,S,23715659,Aurora,Sinistra,CONTRERAS,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,6012,ESCUELA DE HECHICERÍA,WH236003,Examinador de Aparición I,50,S,Diurno,30,17,martes,14:15,15:35,01/08/24,30/12/24,306,HOGWARTS - TORRE D,S,26287315,Bathsheda,Babbling,0,INSD
2024-02,hogwarts,Facultad de Magia y Hechicería,6012,ESCUELA DE HECHICERÍA,WH236003,Examinador de Aparición I,50,S,Diurno,30,17,martes,15:45,17:05,01/08/24,30/12/24,306,HOGWARTS - TORRE D,S,26287315,Bathsheda,Babbling,0,INSD
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,HW13977,TALLER DE CASTELLANO,10,S,Diurno,42,39,viernes,11:15,12:35,01/08/24,30/12/24,9 (H),HOGWARTS - TORRE B,S,26800262,Bellatrix,Lestrange,0,INSD
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,HW13977,TALLER DE CASTELLANO,10,S,Diurno,42,39,viernes,12:45,14:05,01/08/24,30/12/24,9 (H),HOGWARTS - TORRE B,S,26800262,Bellatrix,Lestrange,0,INSD
2024-02,hogwarts,Ministerio de magia,8020,Ministerio de magia,HP25151,CTI: COMUNICACIÓN EFECTIVA E INTERACCIÓN HUMANA,20,S,Diurno,45,45,jueves,15:45,17:05,01/08/24,30/12/24,213,HOGWARTS - TORRE B,S,29097218,Blaise,Zabini,0,SIN
2024-02,hogwarts,Ministerio de magia,8020,Ministerio de magia,HP25151,CTI: COMUNICACIÓN EFECTIVA E INTERACCIÓN HUMANA,30,S,Vespertino,43,31,sábado,11:15,12:35,01/08/24,30/12/24,204,HOGWARTS - TORRE B,S,29097218,Blaise,Zabini,0,SIN
2024-02,hogwarts,Ministerio de magia,8020,Ministerio de magia,HP25151,CTI: COMUNICACIÓN EFECTIVA E INTERACCIÓN HUMANA,50,S,Diurno,44,44,martes,14:15,15:35,01/08/24,31/12/24,312,HOGWARTS - TORRE B,S,29097218,Blaise,Zabini,0,SIN
2024-02,hogwarts,Ministerio de magia,8020,Ministerio de magia,HP25151,CTI: COMUNICACIÓN EFECTIVA E INTERACCIÓN HUMANA,10,S,Diurno,43,43,lunes,14:15,15:35,01/08/24,30/12/24,313,HOGWARTS - TORRE B,S,29097218,Blaise,Zabini,0,SIN
2024-02,hogwarts,Ministerio de magia,8020,Ministerio de magia,HP25151,CTI: COMUNICACIÓN EFECTIVA E INTERACCIÓN HUMANA,40,S,Diurno,35,35,viernes,14:15,15:35,08/07/24,31/12/24,414,HOGWARTS - TORRE B,S,29097218,Blaise,Zabini,0,SIN
2024-02,hogwarts,Ministerio de magia,9010,PROGRAMA DE PÁRCEL,WH23639,PÁRSEL II,20,S,Diurno,40,34,viernes,09:45,11:05,01/08/24,31/12/24,204,HOGWARTS - TORRE D,S,30762778,Cedric,Diggory,PARDO,SIN
2024-02,hogwarts,Ministerio de magia,9010,PROGRAMA DE PÁRCEL,WH23639,PÁRSEL II,20,S,Diurno,40,34,viernes,11:15,12:35,01/08/24,31/12/24,204,HOGWARTS - TORRE D,S,30762778,Cedric,Diggory,PARDO,SIN
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH23637,PÁRSEL I,280,S,Diurno,59,48,jueves,11:15,12:35,01/08/24,30/12/24,310,BEAUXBATON - EDIFICIO B,S,33556399,Charity,Burbage,BROCHET,SIN
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH23637,PÁRSEL I,280,S,Diurno,59,48,jueves,12:45,14:05,01/08/24,30/12/24,310,BEAUXBATON - EDIFICIO B,S,33556399,Charity,Burbage,BROCHET,SIN
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH23639,PÁRSEL II,240,S,Diurno,49,37,jueves,08:15,09:35,01/08/24,30/12/24,207 (H),BEAUXBATON - EDIFICIO B,S,33556399,Charity,Burbage,BROCHET,SIN
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH23639,PÁRSEL II,240,S,Diurno,49,37,jueves,09:45,11:05,01/08/24,30/12/24,207 (H),BEAUXBATON - EDIFICIO B,S,33556399,Charity,Burbage,BROCHET,SIN
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH23639,PÁRSEL II,220,S,Diurno,45,35,miércoles,11:15,12:35,01/08/24,30/12/24,413 (H),BEAUXBATON - EDIFICIO B,S,33556399,Charity,Burbage,BROCHET,SIN
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH23639,PÁRSEL II,220,S,Diurno,45,35,miércoles,12:45,14:05,01/08/24,30/12/24,413 (H),BEAUXBATON - EDIFICIO B,S,33556399,Charity,Burbage,BROCHET,SIN
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH233410,PÁRSEL III,210,S,Diurno,50,38,martes,11:15,12:35,01/08/24,30/12/24,104,BEAUXBATON - EDIFICIO A,S,33556399,Charity,Burbage,BROCHET,SIN
2024-02,Beauxbaton,Ministerio de magia,9010,PROGRAMA DE pársel,WH233410,PÁRSEL III,210,S,Diurno,50,38,martes,12:45,14:05,01/08/24,30/12/24,104,BEAUXBATON - EDIFICIO A,S,33556399,Charity,Burbage,BROCHET,SIN
2024-02,hogwarts,Ministerio de magia,8020,Ministerio de magia,HP25152,CTI: USABILIDAD,10,S,Diurno,40,40,martes,09:45,11:05,01/08/24,30/12/24,210,HOGWARTS - TORRE B,S,33977706,Cho,Chang,0,ATD
2024-02,hogwarts,Ministerio de magia,8020,Ministerio de magia,HP25152,CTI: USABILIDAD,20,S,Diurno,42,42,martes,11:15,12:35,01/08/24,30/12/24,211,HOGWARTS - TORRE B,S,33977706,Cho,Chang,0,ATD
2024-02,hogwarts,Ministerio de magia,8020,Ministerio de magia,HP25152,CTI: USABILIDAD,30,S,Diurno,41,41,martes,12:45,14:05,01/08/24,30/12/24,417,HOGWARTS - TORRE B,S,33977706,Cho,Chang,0,ATD
2024-02,Beauxbaton,Ministerio de magia,8020,Ministerio de magia,HP25152,CTI: USABILIDAD,220,S,Diurno,37,37,viernes,14:15,15:35,01/08/24,30/12/24,510,BEAUXBATON - EDIFICIO B,S,36487208,Colin,Creevey,PÉREZ ,ATD
2024-02,Beauxbaton,Ministerio de magia,8020,Ministerio de magia,HP25152,CTI: USABILIDAD,230,S,Diurno,37,37,viernes,15:45,17:05,01/08/24,30/12/24,510,BEAUXBATON - EDIFICIO B,S,36487208,Colin,Creevey,PÉREZ ,ATD
2024-02,Beauxbaton,Ministerio de magia,8020,Ministerio de magia,HP25152,CTI: USABILIDAD,210,S,Diurno,37,37,miércoles,15:45,17:05,01/08/24,30/12/24,512,BEAUXBATON - EDIFICIO B,S,36487208,Colin,Creevey,PÉREZ ,ATD
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH23494,PREPARACIÓN T.I.M.O,30,S,Vespertino,15,6,viernes,18:50,20:10,01/08/24,30/12/24,204,HOGWARTS - TORRE B,S,36638287,Cormac,McLaggen,LARROUCAU,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH23494,PREPARACIÓN T.I.M.O,30,S,Vespertino,15,6,viernes,20:15,21:35,01/08/24,30/12/24,204,HOGWARTS - TORRE B,S,36638287,Cormac,McLaggen,LARROUCAU,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH23494,PREPARACIÓN T.I.M.O,30,S,Vespertino,15,6,viernes,21:40,23:00,01/08/24,30/12/24,204,HOGWARTS - TORRE B,S,36638287,Cormac,McLaggen,LARROUCAU,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH23494,PREPARACIÓN T.I.M.O,10,S,Diurno,20,18,jueves,08:15,09:35,01/08/24,30/12/24,304,HOGWARTS - TORRE B,S,36638287,Cormac,McLaggen,LARROUCAU,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH23494,PREPARACIÓN T.I.M.O,10,S,Diurno,20,18,jueves,09:45,11:05,01/08/24,30/12/24,304,HOGWARTS - TORRE B,S,36638287,Cormac,McLaggen,LARROUCAU,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH23494,PREPARACIÓN T.I.M.O,10,S,Diurno,20,18,jueves,11:15,12:35,01/08/24,30/12/24,304,HOGWARTS - TORRE B,S,36638287,Cormac,McLaggen,LARROUCAU,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,6012,ESCUELA DE HECHICERÍA,WH236031,Examinador de Aparición VII,20,S,Diurno,13,7,viernes,09:45,11:05,01/08/24,30/12/24,207,HOGWARTS - TORRE B,S,37452082,Cornelius,Fudge,VARGAS,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,6012,ESCUELA DE HECHICERÍA,WH236031,Examinador de Aparición VII,20,S,Diurno,13,7,viernes,11:15,12:35,01/08/24,30/12/24,207,HOGWARTS - TORRE B,S,37452082,Cornelius,Fudge,VARGAS,JC1
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13509,ARTES OSCURAS II,50,S,Diurno,20,7,miércoles,08:15,09:35,01/08/24,30/12/24,AULA C (H),HOGWARTS - ,S,38307076,Cuthbert,Binns,0,SIN
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13509,ARTES OSCURAS II,50,S,Diurno,20,7,miércoles,09:45,11:05,01/08/24,30/12/24,AULA C (H),HOGWARTS - ,S,38307076,Cuthbert,Binns,0,SIN
2024-02,hogwarts,Facultad de Magia y Hechicería,4010,ESCUELA DE MAGIA,GH13509,ARTES OSCURAS II,50,S,Diurno,20,7,miércoles,11:15,12:35,01/08/24,30/12/24,AULA C (H),HOGWARTS - ,S,38307076,Cuthbert,Binns,0,SIN
2024-02,Beauxbaton,Facultad de Magia y Hechicería,6012,ESCUELA DE Hechicería,WH236019,ESTRATEGIAS INNOVADORAS PARA  ENCANTAR,210,S,Diurno,15,13,lunes,11:15,12:35,01/08/24,30/12/24,505,BEAUXBATON - EDIFICIO B,S,38410052,Daphne,Greengrass,0,INSD
2024-02,Beauxbaton,Facultad de Magia y Hechicería,6012,ESCUELA DE Hechicería,WH236019,ESTRATEGIAS INNOVADORAS PARA  ENCANTAR,210,S,Diurno,15,13,lunes,12:45,14:05,01/08/24,30/12/24,505,BEAUXBATON - EDIFICIO B,S,38410052,Daphne,Greengrass,0,INSD
