RUN;Nombre;APELLIDO P;telefono;email personal;email  institucional;DEDICACI�N;CONTRATO;DIURNO;VESPERTINO;SEDE;CARRERA;GRADO ACAD�MICO;JERARQU�A ;CARGO;ESTAMENTO
;;;;;;;JORNADA;diurno;;;;DOCTORA;ASOCIADA DOCENTE;Profesor 1/2 Jornada;
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;PROFESOR ASISTENTE DOCENTE;Director (a) Formaci�n Cont. y Postgra;Acad�mico
;;;;;;40;FULL TIME;diurno;vespertino;;;LICENCIATURA;INSTRUCTORA DOCENTE;Secretaria Estudios;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;;;;;;PROFESORA ASISTENTE DOCENTE;;Acad�mico
22671518;Mike ;NEWELL;;;;;;;;;;;;;
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASISTENTE REGULAR;;Acad�mico
;;;;;;40;FULL TIME;;vespertino;;;DOCTOR;ASISTENTE REGULAR;Director del� �rea;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;;;;;;ASISTENTE DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASOCIADA DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;;HONORARIO;;vespertino;;;LICENCIATURA;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
16462378;Cho;CHANG;;cho.chang.gallo@coldmail.com;cho.chang.gallo@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;Coord. de Cl�nica�;Acad�mico
;;;;;;;HONORARIO;;vespertino;;;0;ASOCIADO DOCENTE;;
;;;;;;;HONORARIO;;;;;;TITULAR DOCENTE;;
;;;;;;;HONORARIO;;;;;;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;ASOCIADO REGULAR;Acad�mico Investigador;Acad�mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
;;;;;;10;HONORARIO;diurno;vespertino;;;LICENCIATURA;SIN JERARQUIZAR;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acad�mico
13645935;Horace;SLUGHORN;;horace.slughorn@gmall.com;horace.slughorn@lamejor.com;;;;;;;;;;
;;;;;;40;FULL TIME;;nocturno;;;DOCTOR;PROFESOR ASOCIADO DOCENTE;Director Inst. Investigaci�n y Postgra;Acad�mico
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASOCIADO REGULAR;Acad�mico Investigador;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;JORNADA;;vespertino;;;DOCTOR;ASISTENTE REGULAR;Coordinador de Investigacion;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Profesor por Jornada;
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASISTENTE DOCENTE;Coordinador Docente y Formaci�n Contin;Acad�mico
;;;;;;;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;Acad�mico
;;;;;;;JORNADA;diurno;;;;LICENCIATURA;INSTRUCTOR REGULAR;Coordinador (a) Postgrados;
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;10;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;
9734595;Alicia;SPINNET;;alicia.spinnet.bascunan@gmall.com;alicia.spinnet.bascunan@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;Coord. de Seguimiento y Apoyo al Egres;Acad�mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;
;;;;;;40;;;;;;;;Asistente de Titulos y Grados;Administrativo
18231420;David ;YATES;345678910;;;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;TITULAR DOCENTE;Acad�mico Investigador;Acad�mico
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASOCIADO REGULAR;;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASISTENTE REGULAR;Profesor por Jornada;
;;;;;;10;;diurno;;;;MAGISTER;;;Acad�mico
14793687;George;WEASLEY;;george.weasley.valdivia@yeeha.com;george.weasley.valdivia@lamejor.com;;;;;;;;;;
;;;;;;;;;;;;;INSTRUCTORA DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;;;Acad�mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO DOCENTE;Director(a) Carrera (i);
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO DOCENTE;Profesor 1/2 Jornada;
;;;;;;;HONORARIO;;;;;;;;Acad�mico
17333138;Aurora;SINISTRA;;aurora.sinistra@coldmail.com;aurora.sinistra@lamejor.com;;;;;;;;;;
15358632;Fred;WEASLEY;;fred.weasley.marti@gmall.com;fred.weasley.marti@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;40;FULL TIME;;vespertino;;;MAGISTER;;;Acad�mico
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;;;;;;ASOCIADA DOCENTE;;Acad�mico
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;;vespertino;;;0;;;Acad�mico
;;;;;;20;FULL TIME;diurno;;;;DOCTORA;COMISI�N SUPERIOR ASOCIADA DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acad�mico
13185805;Godric ;GRYFFINDOR;;godric.gryffindor.stippel@yeeha.com;godric.gryffindor.stippel@lamejor.com;;;;;;;;;;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;;;;;;;;Acad�mico
11822639;Salazar ;SLYTHERIN;567890133;salazar.slytherin.avila@yeeha.com;salazar.slytherin.avila@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;;;;;;;;INSTRUCTORA DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;Acad�mico
16386516;Bathsheda;BABBLING;;bathsheda.babbling@gmall.com;bathsheda.babbling@lamejor.com;;;;;;;;;;
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;;;;;;SIN JERARQUIZAR;;Acad�mico
;;;;;;;HONORARIO;;vespertino;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
22219383;Chris ;COLUMBUS;;;;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;diurno;vespertino;;;LICENCIATURA;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acad�mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;Acad�mico
;;;;;;40;;;;;;;;Coord. de Seguimiento y Apoyo al Egresad;Acad�mico
;;;;;;;JORNADA;diurno;vespertino;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
;;;;;;0;FULL TIME;;;;;PROFESOR ASOCIADO REGULAR;;Acad�mico Investigador;Acad�mico
24120738;Narcissa;MALFOY;;narcissa.malfoy.ramirez@coldmail.com;narcissa.malfoy.ramirez@lamejor.com;;;;;;;;;;
;;;;;;40;FULL TIME;;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;Director(a) Carrera;Acad�mico
;;;;;;10;HONORARIO;;;;;;PROFESOR ASISTENTE DOCENTE;;Acad�mico
;;;;;;;HONORARIO;;;;;;SIN CONOCIMIENTO;;
