RUN;Nombre;Apellido P;telefono;email personal;email  institucional;DEDICACIï¿½N;CONTRATO;DIURNO;VESPERTINO;SEDE;CARRERA;GRADO ACADï¿½MICO;JERARQUï¿½A ;CARGO;ESTAMENTO
;;;;;;;planta;;;;;0;ASISTENTE REGULAR;Profesor por Jornada;
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;;;Acadï¿½mico
16789372;Ernie;Macmillan;345678905;ernie.macmillan@riquelme.com;ernie.macmillan@lamejor;;FULL TIME;diurno;;BEAUXBATON;HECHICERï¿½A;MAGISTER;ASOCIADO DOCENTE;Director(a) Carrera (i);
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;TITULAR DOCENTE;Acadï¿½mico Investigador;
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;;;Acadï¿½mico
;;;;;;20;FULL TIME;diurno;;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;TITULAR DOCENTE;Profesor;
;;;;;;;HONORARIO;;diurno;;;LICENCIATURA;LICENCIATURA;;Acadï¿½mico
17043066;Minerva;McGonagall;;minerva.mcgonagall@gmall.com;minerva.mcgonagall@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acadï¿½mico
9866866;Luna;Lovegood;456789019;luna.lovegood.diaz@yeeha.com;luna.lovegood.diaz@lamejor.com;;;diurno;;HOGWARTS;MAGIA;MAGISTER;INSTRUCTOR DOCENTE;;
22073090;Dennis;Creevey;;dennis.creevey.nash@gmall.com;dennis.creevey.nash@lamejor.com;;;;;;;MAGISTER;;;
7777777;EDUARDO SANTIAGO;BUSTOS;BAHAMONDE;eb@uc.cl;eb@lamejor.cl;80;;A VECES;TAMBIEN;HOGWARTS;;;BAJA;JUNIOR;administrativo
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;ASOCIADO DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
8270690;Vincent;Crabbe;901234578;vincent.crabbe.piturra@gmall.com;vincent.crabbe.piturra@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
15647936;;;;;;;HONORARIO;;;;;MAGISTER;INSTRUCTOR DOCENTE;Profesor por Jornada;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;
7682646;Dudley;Dursley;234567894;dudley.dursley.plaza@coldmail.com;dudley.dursley.plaza@lamejor.com;;HONORARIO;;;BEAUXBATON;HECHICERï¿½A;MAGISTER;INSTRUCTOR DOCENTE;;
6666666;Voldemort;Seï¿½orOscuro;567890123;voldemort.senoroscuros@elinnombrable.com;voldemort.senoroscuros.elinnombrable@lamejor.com;;GRATIS;diurno;;;; LICENCIATURA;;VACANTE;
;;;;;;;HONORARIO;;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;10;HONORARIO;;;;;;;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASOCIADO DOCENTE;;
9808360;Firenze;;;firenze@yeeha.com;firenze@lamejor.com;;;;;;;;;;
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO REGULAR;Acadï¿½mico Investigador;
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;;JORNADA;;vespertino;;;DOCTOR;ASOCIADO DOCENTE;Director Inst. Investigaciï¿½n y Postgra;
;;;;;;;JORNADA;;;;;0;ASISTENTE DOCENTE;Profesor por Jornada;
;;;;;;40;FULL TIME;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;Director Clï¿½nica;Acadï¿½mico
;;;;;;40;FULL TIME;;;;;;;Encargado Servicios;Administrativo
19036378;Lee;Jordan;;lee.jordan.marin@yeeha.com;lee.jordan.marin@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;;vespertino;;;0;SIN JERARQUIZAR;;
12114054;Justin;Finch-Fletchley;;justin.finch-fletchley@latorre.com;justin.finch-fletchley@@lamejor;;;;;;;;;;
;;;;;;20;FULL TIME;;;;;MAGISTER;SIN JERARQUIZAR;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
21103479;Harry;Potter;;harry.potter.badilla@yeeha.com;harry.potter.badilla@lamejor.com;;;;;;;DOCTOR;;;
21673365;Irman.;Pince;;irma.pince@coldmail.com;irma.pince@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;;vespertino;;;0;INSTRUCTOR DOCENTE;;
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASISTENTE REGULAR;Profesor por Jornada;
;;;;;;10;HONORARIO;diurno;;;;Bachiller;ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acadï¿½mico
100;POR;DESIGNAR;;;;;;;;;;MAGISTER;ASISTENTE REGULAR;;
4010;POR;DESIGNAR;;;;;;;;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESORA ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASISTENTE REGULAR;;
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;vespertino;;;LICENCIATURA;PROFESOR TITULAR DOCENTE;;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;40;HONORARIO;;vespertino;;;MAGISTER;;;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;DOCTOR;ASOCIADA REGULAR;Acadï¿½mico Investigador;
;;;;;;40;HONORARIO;diurno;vespertino;;;DOCTOR;PROFESOR ASOCIADO REGULAR;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;DOCTORA;ASOCIADA DOCENTE;;Acadï¿½mico
;;;;;;40;HONORARIO;diurno;vespertino;;;DOCTOR;;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;40;FULL TIME;;;;;0;ASOCIADO DOCENTE;Director(a) Carrera (i);Acadï¿½mico
;;;;;;;JORNADA;;;;;0;ASOCIADO DOCENTE;Profesor por Jornada;
;;;;;;;HONORARIO;;;;;;ASISTENTE REGULAR;;Acadï¿½mico
17922276;;;;;;40;FULL TIME;;;;;;;Secretaria (o);Administrativo
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;;JORNADA;;;;;0;ASOCIADO DOCENTE;Coordinador Docente y Formaciï¿½n Contin;
7900381;Viktor;Krum;890123467;viktor.krum.duran@yeeha.com;viktor.krum.duran@lamejor.com;;FULL TIME;diurno;;HOGWARTS;MAGIA;MAGISTER;ASOCIADO DOCENTE;Profesor 1/2 Jornada;
;;;;;;10;HONORARIO;;;;;;TITULAR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;SIN JERARQUIZAR;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;JORNADA;diurno;vespertino;;;0;ASOCIADO DOCENTE;Director(a) Carrera;
;;;;;;;HONORARIOï¿½;diurno;;;;MAGISTER;;;Acadï¿½mico
111861590;;;;;;40;FULL TIME;;;;;;;Secretaria - Escuela;Administrativo
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASISTENTE REGULAR;Acadï¿½mico Investigador;
7481441;Arthur;Weasley;789012346;arthur.weasley.diaz@yeeha.com;arthur.weasley.diaz@lamejor.com;;FULL TIME;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;Coord. de Clï¿½nicaï¿½;Acadï¿½mico
;;;;;;;;;;;;;INSTRUCTORA DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
15647218;Cuthbert;Binns;;cuthbert.binns@yeeha.com;cuthbert.binns@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Profesor por Jornada;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;;;Acadï¿½mico
22336345;Blaise;Zabini;;blaise.zabini.pardo@gmall.com;blaise.zabini.pardo@lamejor.com;;;;;;;;;;
;;;;;;;JORNADA;;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Director(a) Carrera;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;PROFESOR TITULAR DOCENTE;;Acadï¿½mico
19164741;David ;Heyman;;;;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;;vespertino;;;0;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
14550636;Ginny;Weasley;;ginny.weasley.rojas@gmall.com;ginny.weasley.rojas@lamejor.com;;;;;;;;;;
11055885;James;Potter;;james.potter.cortes@coldmail.com;james.potter.cortes@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;;JORNADA;;;;;0;ASISTENTE REGULAR;Profesor por Jornada;
20666086;Marietta;Edgecombe;;marietta.edgecombe@dietz.com;marietta.edgecombe@lamejor;;;;;;;MAGISTER;;;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;40;HONORARIO;;;;;;;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;DOCTOR;;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASISTENTE DOCENTE;Profesor por Jornada;
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASISTENTE DOCENTE;Profesor por Jornada;
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADA REGULAR;Director (a) Centro de Sol. Colab.de C;
;;;;;;;HONORARIO;;vespertino;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;SIN CONOCIMIENTO;;
;;;;;;;;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
7505853;Charity;Burbage;;charity.burbage@coldmail.com;charity.burbage@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;;vespertino;;;0;ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;40;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;Director(a) Escuela;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;ASOCIADA DOCENTE;;Acadï¿½mico
7434992;Padma;Patil;456789020;padma.patil.sandoval@coldmail.com;padma.patil.sandoval@lamejor.com;;FULL TIME;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;TITULAR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;JORNADA;;;;;;SIN JERARQUIZAR;;
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;;;Acadï¿½mico
23116372;Cornelius;Fudge;;cornelius.fudge.avila@yeeha.com;cornelius.fudge.avila@lamejor.com;;;;;;;;;;
;;;;;;;;;;;;;ASOCIADO REGULAR;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;PROFESORA ASISTENTE REGULAR;Secretaria Ejecutiva del Centro ...;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;;;;;;SIN CONOCIMIENTO;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;40;FULL TIME;;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;10;HONORARIO;;;;;;SIN JERARQUIZAR;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;PROFESOR ASISTENTE REGULAR;;Acadï¿½mico
12193904;Silvanusn.;Kettleburn;901234577;silvanus.kettleburn@gmall.com;silvanus.kettleburn@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;0;COMISIï¿½N SUPERIOR ASOCIADO REGULAR;Director(a) Carrera;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;Decano(a);Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR;;
15992956;Dolores;Umbridge;;dolores.umbridge@coldmail.com;dolores.umbridge@lamejor.com;;;;;;;LICENCIATURA;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
8761982;Helga ;Hufflepuff;;helga.hufflepuff.bozo@coldmail.com;helga.hufflepuff.bozo@lamejor.com;;;;;;;DOCTOR;;;
;;;;;;10;HONORARIO;;vespertino;;;0;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;PROFESOR ASOCIADO REGULAR;Director Depto.ï¿½;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;TITULAR DOCENTE;Profesor 1/2 Jornada;
122637826;;;;;;40;FULL TIME;;;;;;;Secretaria - Escuela;Administrativo
;;;;;;;HONORARIO;diurno;vespertino;;;LICENCIATURA;TITULAR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;COMISIï¿½N SUPERIOR ASOCIADA DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;10;;diurno;;;;MAGISTER;SIN JERARQUIZAR;;Acadï¿½mico
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;;vespertino;;;0;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;ASOCIADA DOCENTE;;
21713351;Cormac;McLaggen;890123458;cormac.mclaggen@valenzuela.com;cormac.mclaggen@lamejor;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASISTENTE DOCENTE;Coord. de Seguimiento y Apoyo al Egres;
;;;;;;;HONORARIO;diurno;vespertino;;;0;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;Acadï¿½mico
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;COMISIï¿½N SUPERIOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;Acadï¿½mico
;;;;;;20;FULL TIME;diurno;;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acadï¿½mico
12866079;Colin;Creevey;;colin.creevey.bermudez@gmall.com;colin.creevey.bermudez@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;DOCTORï¿½;ASISTENTE DOCENTE;;Acadï¿½mico
123712616;;;;;;40;FULL TIME;;;;;;;Secretaria (o);Administrativo
;;;;;;10;HONORARIO;;;;;;;;Acadï¿½mico
12273600;Alastor;PITURRA ;;alastor.piturra@yeeha.com;alastor.moody@lamejor.com;;;;;;;;;;
;;;;;;10;;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;PROFESORA ASISTENTE DOCENTE;Director(a) Carrera;Acadï¿½mico
;;;;;;;JORNADA;;;;;0;TITULAR REGULAR;Acadï¿½mico Investigador;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR REGULAR;;
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;ASISTENTE REGULAR;Acadï¿½mico Investigador;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;JORNADA;;vespertino;;;DOCTOR;ASISTENTE REGULAR;Director de  ï¿½rea;academico
22890939;Alfonso ;Cuarï¿½n;;;;;;;;;;;;;
;;;;;;;;diurno;;;;MAGISTER;ASISTENTE REGULAR;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;FUL TIME;diurno;;;;LICENCIATURA;INSTRUCTOR REGULAR;Coordinador (a) Postgrados;Acadï¿½mico
12w238470;;;;;;40;FULL TIME;;;;;;;Secretaria (o);Administrativo
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTERï¿½;INSTRUCTORA DOCENTE;;Acadï¿½mico
9909814;Hannah;Abbott;567890128;hannah.abbott@viana.com;hannah.abbott@@lamejor;;HONORARIO;;;BEAUXBATON;HECHICERï¿½A;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Profesor por Jornada;
;;;;;;10;HONORARIO;diurno;vespertino;;;LICENCIATURA;INSTRUCTOR DOCENTE;;Acadï¿½mico
12712137;Katie;Bell;;katie.bell.aguirre@coldmail.com;katie.bell.aguirre@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;;Coord. de Clï¿½nicaï¿½;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASOCIADA DOCENTE;;
14079731;Pomona;Sprout;;pomona.sprout@coldmail.com;pomona.sprout@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
10778699;LAMAS;BELLA;;lamas.bella.delmundo@yeeha.com;lamas.bella.delmundo@lamejor.com;120;DOUBLE  TIME;diurno;vespertino;TODAS;HECHICERï¿½A;MAGISTER;ASISTENTE DOCENTE;VICEDECANA;Acadï¿½mico
11682760;Amycus;Carrow;;amycus.carrow@yeeha.com;amycus.carrow@lamejor.com;;;diurno;vespertino;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASOCIADO REGULAR;Director Depto;academico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
19690944;Lavender;Brown;;lavender.brown@torralbo.com;lavender.brown@lamejor;;;;;;;;;;
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;;Acadï¿½mico Investigador;Acadï¿½mico
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Decano(a);
;;;;;;;JORNADA;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;Director Clï¿½nica ;academico
19525663;Susan;Bones;345678912;susan.bones@poncedeleon.com;susan.bones@@lamejor;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
