"Código Plan",Plan,Cohorte,Sede,RUN,DV,Nombres,"Apellido Paterno","Apellido Materno","Número de alumno","Periodo Asignatura","Código Asignatura",Asignatura,Convocatoria,Calificación,Nota
HP1,"Magia PLAN 2003",1990-01,Hogwarts,13663513,9,JENNIFE,ROHDIS,PLACENCIA,426757,1992-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1991-01,Hogwarts,18307181,3,YEXALEN,CARIOLA,SALGUERO,568619,1994-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1992-01,Hogwarts,13844826,7,VIARLY,GALVAO,PAULOS,379426,1995-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1992-01,Hogwarts,9082220,2,NELSON,TENASEN,LEON,635465,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1993-01,Hogwarts,24246486,4,NAIARA,BARBA,OYARCE,611861,1993-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1994-01,Hogwarts,20216875,1,EDUAR,GRATTAROLA,WALTEMATH,647110,1994-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1994-01,Hogwarts,12400432,8,HAYDEE,JARPA,LAYERA,610788,1994-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1994-01,Hogwarts,14054791,3,DANTER,FRANZ,CARRIZO,588077,1994-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1994-01,Hogwarts,11030915,5,ROMINIC,SAMPIERI,COLABELLO,481087,1994-01,GH170,"ADIVINACION  I",DIC,CV,
HW1,"Magia NOCTURNA PLAN 2003",1994-01,Hogwarts,14054791,3,DANTER,FRANZ,CARRIZO,588077,1994-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1995-01,Hogwarts,7540535,2,MACAREN,OVALLE,AVILA,396842,1995-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1995-01,Hogwarts,9574650,K,MARILYN,VIDAURRE,WIMMER,611956,1995-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1995-01,Hogwarts,18221722,K,NIKITA,ELICES,CABIESES,614885,1995-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1995-01,Hogwarts,9588423,3,FRANCISC,ARISTEGUI,QUINTUPURAI,377892,1995-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1995-01,Hogwarts,15691111,9,NOHEMI,RICCARDI,PERALTA,586905,1995-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1995-01,Hogwarts,17293770,1,GABY,POVEDA,VALLEJO,384906,1995-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1995-01,Hogwarts,18265812,0,MAINA,CASTIBLANCO,CAZOR,379844,1995-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,16761770,6,NAHARA,YUS,CATRILEO,368626,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,13878582,9,MATHIAS,HIPP,JAUREGUI,445693,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,6703957,7,AMY,VICUÑA,HAMATI,465632,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,22551626,3,KONSTANZA,CABALL,ALISTE,522712,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,17485908,5,FRANKO,"GASTON DE IRIARTE","DE CASO",409641,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,8602024,6,IVAN,CONTRERAS,SANTELICES,592642,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,17436898,6,JENSON,NICHOLLS,GAMONAL,552613,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,8231362,4,MARCIAL,BUDIL,VILO,643638,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,17779740,2,SUILAN,GRANADA,WADDINGTON,555617,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,17111829,0,VIANKA,AMENGUAL,HIRCASH,652694,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,18234267,6,DEJESÚS,ROBLEDO,CELAYA,400624,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,25899265,0,KAROLAY,ORMAZÁBAL,BLANC,563637,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,13787517,5,YANTHIL,"PENA Y LILLO",WILHELM,608636,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,14635813,4,FELICIANO,ALMONTE,PASSALACQUA,487670,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,22101449,9,SLOMITT,FILGUEIRA,DENEY,530696,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,20915316,8,DEISSI,BEYER,LLANCANAO,594630,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,18885934,0,RAÚL,STUARDO,ROIG,612708,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,4519082,K,INDULFO,SAINT-JEAN,CATALAN,635701,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,10811163,0,RAZIEL,DEVOTO,ALCAZAR,626702,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,6450435,0,VERONIC,CONDE,BASOALTO,370699,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,25097309,2,RONNIE,BARRÍA,CERRUTTI,557627,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,16349104,9,ARANZA,MARRERO,LUNA,531697,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,22721960,5,ANGELIC,BRUNETTI,AVACA,623633,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,23489433,6,YOSSELIN,AUGOSTO,SINOVCIC,651614,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,18877094,8,GABRIELA,OCAMPO,SELEME,604619,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,9137371,5,GEOVANA,PAGANI,VELÁSQUEZ,444671,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,14563412,3,CHARITO,DOWNEY,MORCHIO,447635,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,14300063,4,RUSELL,RENDOLL,VILLALOBOS,438640,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1996-01,Hogwarts,10553954,0,ALEX,CHINGA,CORTÉS-MONROY,499700,1996-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1997-01,Hogwarts,5568839,6,DELAPAZ,COSTAGLIOLA,RADONICH,622476,1997-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1997-01,Hogwarts,8936867,9,IRIS,ARISMENDI,OTÁROLA,615471,1997-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1997-01,Hogwarts,20977199,3,AVELIN,NAZAL,CERENIC,493470,1997-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1997-01,Hogwarts,15304435,3,MARTA,ZANOTTI,PASSALACQUA,603478,1997-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1998-01,Hogwarts,16742200,2,HERMAN,CARTES,JABRE,523498,2000-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1998-01,Hogwarts,9007951,K,SANTI,TURINA,HOLBUT,455479,1998-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1998-01,Hogwarts,17377522,8,ZORAN,DENEY,JILES,615480,1998-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1998-01,Hogwarts,9150079,6,JULIETH,FLUXÁ,TAMAYO,382481,1998-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1998-01,Hogwarts,9299440,0,LISBETH,GACITUA,OROS,393483,1998-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1998-01,Hogwarts,5085274,K,AYMARA,ARTUS,REHL,365181,1998-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1998-01,Hogwarts,7005313,8,GIANITZA,"COSTA DEL RIO",ERBS,625491,1998-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1999-01,Hogwarts,23475425,9,FRANCCESCA,REHHOF,BUSCAGLIONE,425049,1999-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2000-01,Hogwarts,5298555,2,ALEXIA,DECEBAL-CUZA,GAYTAN,462408,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2000-01,Hogwarts,15815487,8,KJARA,"LIVINO DE CARVALHO",CASANGA,631361,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2000-01,Hogwarts,16832615,0,YASMÍN,CAMINADA,BERRIOS,436229,2000-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2000-01,Hogwarts,19310592,0,BENJAM,RIFO,AVACA,613363,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2000-01,Hogwarts,5460279,3,ROSER,HUITRAIQUEO,ESPEJO,627334,2000-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2000-01,Hogwarts,24785666,6,SERGIO,VENEGAS,TORAN,623300,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HW1,"Magia NOCTURNA PLAN 2003",2000-01,Hogwarts,15815487,8,KJARA,"LIVINO DE CARVALHO",CASANGA,631361,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HW1,"Magia NOCTURNA PLAN 2003",2000-01,Hogwarts,24785666,6,SERGIO,VENEGAS,TORAN,623300,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,10832543,3,IGNACIO,ARIN,GARNHAM,373246,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,7007895,0,ARACELIS,MARZAL,PAPIC,437252,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,15481069,5,ANDREI,GORMAZ,BAÑADOS,414268,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,18646032,4,ANTONIO,HINOSTROZA,SAZO,594272,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,18837642,9,ESTEFANYA,CORTES,MALAMUD,508072,2001-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,14847049,0,FLORENCIA,ROMO,CAPINO,473219,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,5783013,5,FRANCOISE,ARRUÉ,JERIA,420119,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,11980927,5,MAYERLIN,DUMULEF,BEYZAGA,593125,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,15607952,4,ISABELLA,SALDÍAS,MANCISIDOR,512128,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,14177680,5,JESSE,MONTIVERO,BARRA,456168,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,12156985,K,KARIN,YEBER,CARRERA,499141,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2001-01,Hogwarts,11975163,9,SCARLETTE,AVENDAÑO,SORIANO,538145,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HW1,"Magia NOCTURNA PLAN 2003",2001-01,Hogwarts,7007895,0,ARACELIS,MARZAL,PAPIC,437252,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HW1,"Magia NOCTURNA PLAN 2003",2001-01,Hogwarts,15481069,5,ANDREI,GORMAZ,BAÑADOS,414268,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HW1,"Magia NOCTURNA PLAN 2003",2001-01,Hogwarts,18646032,4,ANTONIO,HINOSTROZA,SAZO,594272,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HW1,"Magia NOCTURNA PLAN 2003",2001-01,Hogwarts,14847049,0,FLORENCIA,ROMO,CAPINO,473219,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HW1,"Magia NOCTURNA PLAN 2003",2001-01,Hogwarts,15607952,4,ISABELLA,SALDÍAS,MANCISIDOR,512128,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,12930123,6,ALLIN,ROLANDO,FALCÓN,650082,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,21073520,K,GUISELA,ALBIE,JADUE,628866,2002-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,13202055,1,DINKA,KRAEMER,LIBERONA,374097,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,16223581,K,GERARDINA,BRITO,PERUSINA,487878,2002-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,25011917,1,ZAIDA,BELMAR,CABALL,502873,2002-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,11242268,9,RAIZA,BAHAMONDE,RIFO,569027,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,17828325,K,JHOAN,SANTIS,COOPMAN,649030,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,24446307,1,LIZETTE,PREMINGER,CAÑETE,523036,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,20535156,0,IVANIA,VALLETTA,VILLOUTA,496039,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,6083163,0,BEGOÑA,HENRÍQUEZ,OLLARZU,452045,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,18655236,K,MAYEN,PARODI,BOBADILLA,624046,2003-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,18655236,K,MAYEN,PARODI,BOBADILLA,624046,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,5835643,6,YADHIRA,ALCAÍNO,ÑANCUCHEO,541055,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,23717177,7,ANDREINA,DIVOCCHIO,CARRARO,599993,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,4515811,7,CELIA,MADARIAGA,SOLIMANO,616910,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,13626060,6,SARA,SOMMERMEYER,OTÁROLA,487927,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,12223686,K,JUSTINE,CANTILLAN,BERARDI,527937,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,25331797,4,TERESA,PARRAO,"GARCÍA DE LA HUERTA",504849,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2002-01,Hogwarts,18180173,0,LORENS,BERGUECIO,MUNOZ,414865,2002-01,GH170,"ADIVINACION  I",DIC,CV,
HW1,"Magia NOCTURNA PLAN 2003",2002-01,Hogwarts,21073520,K,GUISELA,ALBIE,JADUE,628866,2002-01,GH170,"ADIVINACION  I",DIC,CV,
HW1,"Magia NOCTURNA PLAN 2003",2002-01,Hogwarts,17828325,K,JHOAN,SANTIS,COOPMAN,649030,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HW1,"Magia NOCTURNA PLAN 2003",2002-01,Hogwarts,24446307,1,LIZETTE,PREMINGER,CAÑETE,523036,2004-01,GH170,"ADIVINACION  I",DIC,SC,
HW1,"Magia NOCTURNA PLAN 2003",2002-01,Hogwarts,6083163,0,BEGOÑA,HENRÍQUEZ,OLLARZU,452045,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HW1,"Magia NOCTURNA PLAN 2003",2002-01,Hogwarts,5835643,6,YADHIRA,ALCAÍNO,ÑANCUCHEO,541055,2004-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",2003-01,Hogwarts,21446457,2,MAIKEL,CORINALDESI,QUEZADA,521731,2003-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2003-01,Hogwarts,11669712,2,AYELEN,RABELO,JASEN,654739,2003-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2003-01,Hogwarts,22256990,1,DAYAN,CAZOR,PONTIGO,424736,2003-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2003-01,Hogwarts,10613236,3,THOMAS,ARISTE,MORCHIO,635732,2003-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2003-01,Hogwarts,10766039,8,FABRITZIO,LETONJA,SOUZA,590727,2003-01,GH170,"ADIVINACION  I",DIC,CV,
HW1,"Magia NOCTURNA PLAN 2003",2003-01,Hogwarts,9928036,0,"PABLO ANDRES",MATUS,CARVACHO,76,2003-01,GH170,"ADIVINACION  I",DIC,CV,
HW1,"Magia NOCTURNA PLAN 2003",2003-01,Hogwarts,7248232,5,"ROBERTO ESTEBAN",SANCHEZ,CASTRO,114,2003-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2004-01,Hogwarts,4838623,6,"JAIME IGNACIO",MORALES,CANALES,2655,2004-01,GH170,"ADIVINACION  I",DIC,CV,
HW1,"Magia NOCTURNA PLAN 2003",2004-01,Hogwarts,4951066,4,"JOSE MIGUEL",CONTRERAS,CONTRERAS,606,2004-01,GH170,"ADIVINACION  I",DIC,CV,
HW1,"Magia NOCTURNA PLAN 2003",2004-01,Hogwarts,8703201,7,"ALEJANDRA BEATRIZ",MARTINEZ,CACERES,611,2004-01,GH170,"ADIVINACION  I",DIC,CV,
HW1,"Magia NOCTURNA PLAN 2003",2004-01,Hogwarts,20136131,6,LISSETTE,SALAZAR,SANDOVAL,563,2003-01,GH170,"ADIVINACION  I",DIC,CV,
HW2,"Magia NOCTURNA PLAN 2005",2004-01,Hogwarts,24322407,8,"RUTH DEL CARMEN",FUENTES,CALDERON,174,2006-01,GH13470,"ADIVINACION  I",JUL,CV,
GH2,"Magia Uagadou PLAN 2005 (DIURNO)",2005-01,Uagadou,7169579,2,"MARIA CONSTANZA",LYONS,KULISIC,5,2006-02,GH13470,"ADIVINACION  I",DIC,SC,
GH2,"Magia Uagadou PLAN 2005 (DIURNO)",2005-01,Uagadou,8313400,2,"CARLOS ALBERTO",TRIGO,VEGA,8,2006-02,GH13470,"ADIVINACION  I",DIC,SC,
HP1,"Magia PLAN 2003",2005-01,Hogwarts,11750008,9,"DENISSE ALEJANDRA",BARRAZA,DIAZ,2668,2005-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2005-01,Hogwarts,18501061,1,"VERONICA ANDREA",BARRAZA,ZEPEDA,2669,2005-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2005-01,Hogwarts,4825545,6,"PABLO SEBASTIAN",MORALES,SALINAS,2674,2005-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2005-01,Hogwarts,19759939,5,"HELEN MARIA",RAMIREZ,ESPINOZA,2678,2005-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2005-01,Hogwarts,7326135,6,"PATRICIA ALEJANDRA",SILVA,PARRA,2680,2005-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2005-01,Hogwarts,14335997,K,"GEORGETTE ELYZABETH",URRA,GARCIA,2682,2005-01,GH170,"ADIVINACION  I",DIC,CV,
HP2,"Magia PLAN 2005",2005-01,Hogwarts,4825545,6,"PABLO SEBASTIAN",MORALES,SALINAS,697,2005-01,GH13470,"ADIVINACION  I",DIC,CV,
HW1,"Magia NOCTURNA PLAN 2003",2005-01,Hogwarts,11499968,8,"CLAUDIA MARCELA",PINARES,VALDES,677,2005-01,GH170,"ADIVINACION  I",DIC,CV,
HW2,"Magia NOCTURNA PLAN 2005",2005-01,Hogwarts,4825545,6,"PABLO SEBASTIAN",MORALES,SALINAS,1895,2005-01,GH13470,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2006-01,Hogwarts,4978127,3,"CAROLINA PATRICIA",IGUALT,JARA,2706,2006-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2006-01,Hogwarts,8622575,3,"XIMENA REBECA",LEDEZMA,CASTRO,2737,2006-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2006-01,Hogwarts,19154231,1,"CINTHIA MACARENA",OLMOS,TABILO,2708,2006-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",2006-01,Hogwarts,25484072,K,"CRISTOBAL HERNAN",SCHMIDT,FUENZALIDA,2696,2006-01,GH170,"ADIVINACION  I",DIC,CV,
HP2,"Magia PLAN 2005",2006-01,Hogwarts,11064265,1,"JACQUELINE FRANCISCA",CAMPOS,PARADA,354,2006-01,GH13470,"ADIVINACION  I",JUL,CV,
HP2,"Magia PLAN 2005",2006-01,Hogwarts,4354507,5,"PAMELA LORETO",CASTIZAGA,MONDACA,389,2006-01,GH13470,"ADIVINACION  I",JUL,CV,
HP2,"Magia PLAN 2005",2000-01,Hogwarts,21560818,8,"EDUARDO IGNACIO",HENRIQUEZ,VERGARA,677,2007-01,GH13470,"ADIVINACION  I",JUL,CV,
HP2,"Magia PLAN 2005",2006-01,Hogwarts,8929621,K,"ANDREA IVONNE",JARAMILLO,VILLAR,592,2006-01,GH13470,"ADIVINACION  I",JUL,CV,
HP2,"Magia PLAN 2005",2006-01,Hogwarts,8622575,3,"XIMENA REBECA",LEDEZMA,CASTRO,1960,2006-01,GH13470,"ADIVINACION  I",DIC,CV,
HP2,"Magia PLAN 2005",2006-01,Hogwarts,8500297,5,"JANET TAMAR",SALAZAR,VAROS,551,2007-02,GH13470,"ADIVINACION  I",JUL,CV,
HW1,"Magia NOCTURNA PLAN 2003",2006-01,Hogwarts,8562585,K,"PAMELA VERONICA",URRUTIA,SULANTAY,709,2006-01,GH170,"ADIVINACION  I",DIC,CV,
HW2,"Magia NOCTURNA PLAN 2005",2006-01,Hogwarts,20526210,2,"PAULINA ALEJANDRA",ECHEVERRÍA,LEIVA,860,2006-01,GH13470,"ADIVINACION  I",JUL,CV,
HW2,"Magia NOCTURNA PLAN 2005",2000-01,Hogwarts,21560818,8,"EDUARDO IGNACIO",HENRIQUEZ,VERGARA,1348,2007-01,GH13470,"ADIVINACION  I",JUL,CV,
